    PID COMMAND
      1 systemd
      2 kthreadd
      3 rcu_gp
      4 rcu_par_gp
      6 kworker/0:0H-kblockd
      8 mm_percpu_wq
      9 ksoftirqd/0
     10 rcu_sched
     11 migration/0
     12 idle_inject/0
     14 cpuhp/0
     15 cpuhp/1
     16 idle_inject/1
     17 migration/1
     18 ksoftirqd/1
     20 kworker/1:0H-kblockd
     21 cpuhp/2
     22 idle_inject/2
     23 migration/2
     24 ksoftirqd/2
     26 kworker/2:0H-kblockd
     27 cpuhp/3
     28 idle_inject/3
     29 migration/3
     30 ksoftirqd/3
     32 kworker/3:0H-kblockd
     33 kdevtmpfs
     34 netns
     35 rcu_tasks_kthre
     36 kauditd
     37 khungtaskd
     38 oom_reaper
     39 writeback
     40 kcompactd0
     41 ksmd
     42 khugepaged
     89 kintegrityd
     90 kblockd
     91 blkcg_punt_bio
     93 tpm_dev_wq
     94 ata_sff
     95 md
     96 edac-poller
     97 devfreq_wq
     99 watchdogd
    103 kswapd0
    104 ecryptfs-kthrea
    106 kthrotld
    107 irq/27-pciehp
    108 acpi_thermal_pm
    109 vfio-irqfd-clea
    111 ipv6_addrconf
    120 kstrp
    123 kworker/u17:0
    136 charger_manager
    185 firewire
    186 sdhci
    188 firewire_ohci
    189 irq/18-mmc0
    193 scsi_eh_0
    194 scsi_tmf_0
    195 scsi_eh_1
    196 scsi_tmf_1
    197 scsi_eh_2
    198 scsi_tmf_2
    199 scsi_eh_3
    200 scsi_tmf_3
    201 scsi_eh_4
    202 scsi_tmf_4
    203 scsi_eh_5
    204 scsi_tmf_5
    211 kworker/3:1H-events_highpri
    215 kworker/2:1H-events_highpri
    241 jbd2/sdb1-8
    242 ext4-rsv-conver
    243 kworker/0:1H-kblockd
    289 systemd-journal
    321 none
    330 systemd-udevd
    346 loop0
    359 loop1
    372 loop2
    388 loop3
    393 loop4
    394 loop5
    395 loop6
    479 irq/32-mei_me
    488 cfg80211
    501 cryptd
    510 wl_event_handle
    739 systemd-resolve
    740 systemd-timesyn
    740 sd-resolve
    746 accounts-daemon
    746 gmain
    746 gdbus
    747 acpid
    750 avahi-daemon
    751 cron
    752 cupsd
    753 dbus-daemon
    755 NetworkManager
    755 gmain
    755 gdbus
    765 irqbalance
    765 gmain
    766 networkd-dispat
    776 polkitd
    776 gmain
    776 gdbus
    779 rsyslogd
    779 in:imuxsock
    779 rs:main Q:Reg
    779 in:imklog
    781 snapd
    781 snapd
    781 snapd
    781 snapd
    781 snapd
    781 snapd
    781 snapd
    781 snapd
    781 snapd
    781 snapd
    781 snapd
    781 snapd
    781 snapd
    781 snapd
    781 snapd
    782 switcheroo-cont
    782 gmain
    782 gdbus
    787 systemd-logind
    788 systemd-machine
    791 thermald
    791 thermald
    796 udisksd
    796 gmain
    796 gdbus
    796 probing-thread
    796 cleanup
    797 wpa_supplicant
    800 avahi-daemon
    885 cups-browsed
    885 gmain
    885 gdbus
    887 ModemManager
    887 gmain
    887 gdbus
    892 mongod
    892 signalP.gThread
    892 Backgro.kSource
    892 mongod
    892 mongod
    892 mongod
    892 mongod
    892 mongod
    892 mongod
    892 mongod
    892 mongod
    892 WTJourn.Flusher
    892 WTCheck.tThread
    892 DeadlineMonitor
    892 Network.cutor-0
    892 ftdc
    892 TTLMonitor
    892 clientcursormon
    892 Periodi.kRunner
    892 mongod
    892 Logical.Refresh
    892 Logical.cheReap
    892 listener
    904 containerd
    904 containerd
    904 containerd
    904 containerd
    904 containerd
    904 containerd
    904 containerd
    904 containerd
    904 containerd
    904 containerd
    904 containerd
    911 anydesk
    911 gmain
    911 gdbus
    911 proc
    928 sshd
    940 libvirtd
    940 libvirtd
    940 libvirtd
    940 libvirtd
    940 libvirtd
    940 libvirtd
    940 libvirtd
    940 libvirtd
    940 libvirtd
    940 libvirtd
    940 libvirtd
    940 libvirtd
    940 libvirtd
    940 libvirtd
    940 libvirtd
    940 libvirtd
    940 libvirtd
    941 unattended-upgr
    941 gmain
    949 gdm3
    949 gmain
    949 gdbus
    958 tor
   1046 rtkit-daemon
   1046 rtkit-daemon
   1046 rtkit-daemon
   1202 dnsmasq
   1203 dnsmasq
   1255 upowerd
   1255 gmain
   1255 gdbus
   1880 colord
   1880 gmain
   1880 gdbus
   1942 dockerd
   1942 dockerd
   1942 dockerd
   1942 dockerd
   1942 dockerd
   1942 dockerd
   1942 dockerd
   1942 dockerd
   1942 dockerd
   1942 dockerd
   1942 dockerd
   1942 dockerd
   1942 dockerd
   1942 dockerd
   1942 dockerd
   1942 dockerd
   1942 dockerd
   1942 dockerd
   1942 dockerd
   1942 dockerd
   1942 dockerd
   1942 dockerd
   1947 whoopsie
   1947 gmain
   1947 gdbus
   1947 pool-whoopsie
   1955 kerneloops
   1957 kerneloops
   1958 iprt-VBoxWQueue
   1959 iprt-VBoxTscThr
   1978 teamviewerd
   1978 teamviewerd
   1978 teamviewerd
   1978 teamviewerd
   1978 teamviewerd
   1978 teamviewerd
   1978 teamviewerd
   1978 teamviewerd
   1978 teamviewerd
   1978 teamviewerd
   1978 teamviewerd
   1978 teamviewerd
   1978 teamviewerd
   1978 teamviewerd
   1978 teamviewerd
   1978 teamviewerd
   1978 teamviewerd
   2779 gdm-session-wor
   2779 gmain
   2779 gdbus
   2820 systemd
   2826 (sd-pam)
   2835 pulseaudio
   2835 snapd-glib
   2835 alsa-sink-92HD8
   2835 alsa-source-92H
   2837 tracker-miner-f
   2837 gmain
   2837 gdbus
   2837 dconf worker
   2837 pool-tracker-mi
   2837 pool-tracker-mi
   2839 dbus-daemon
   2845 gnome-keyring-d
   2845 gmain
   2845 gdbus
   2845 timer
   2861 gvfsd
   2861 gmain
   2861 gdbus
   2866 gvfsd-fuse
   2866 gvfsd-fuse
   2866 gvfsd-fuse
   2866 gmain
   2866 gdbus
   2866 gvfs-fuse-sub
   2873 gvfs-udisks2-vo
   2873 gmain
   2873 gdbus
   2873 dconf worker
   2880 gvfs-mtp-volume
   2880 gmain
   2880 gdbus
   2884 gvfs-afc-volume
   2884 gvfs-afc-volume
   2884 gmain
   2884 gdbus
   2889 gvfs-gphoto2-vo
   2889 gmain
   2889 gdbus
   2898 gdm-x-session
   2898 gmain
   2898 gdbus
   2900 Xorg
   2900 Xorg:disk$0
   2900 Xorg:disk$1
   2900 Xorg:disk$2
   2900 Xorg:disk$3
   2900 Xorg:disk$0
   2900 Xorg:disk$1
   2900 Xorg:disk$2
   2900 Xorg:disk$3
   2900 InputThread
   2918 gnome-session-b
   2918 gmain
   2918 gdbus
   2987 ssh-agent
   3017 at-spi-bus-laun
   3017 gmain
   3017 dconf worker
   3017 gdbus
   3022 dbus-daemon
   3032 gnome-session-c
   3032 gmain
   3039 gnome-session-b
   3039 gmain
   3039 gdbus
   3039 dconf worker
   3054 gnome-shell
   3054 gmain
   3054 gdbus
   3054 dconf worker
   3054 gnome-s:disk$0
   3054 gnome-s:disk$1
   3054 gnome-s:disk$2
   3054 gnome-s:disk$3
   3054 JS Helper
   3054 JS Helper
   3054 JS Helper
   3054 JS Helper
   3054 threaded-ml
   3079 ibus-daemon
   3079 gmain
   3079 gdbus
   3083 ibus-dconf
   3083 gmain
   3083 gdbus
   3083 dconf worker
   3084 ibus-extension-
   3084 gmain
   3084 gdbus
   3084 dconf worker
   3086 ibus-x11
   3086 gmain
   3086 gdbus
   3090 ibus-portal
   3090 gmain
   3090 gdbus
   3101 at-spi2-registr
   3101 gmain
   3101 gdbus
   3105 xdg-permission-
   3105 gmain
   3105 gdbus
   3109 gnome-shell-cal
   3109 gmain
   3109 gdbus
   3109 dconf worker
   3109 gnome-shell-cal
   3109 pool-gnome-shel
   3116 evolution-sourc
   3116 gmain
   3116 dconf worker
   3116 gdbus
   3124 goa-daemon
   3124 gmain
   3124 gdbus
   3124 dconf worker
   3130 evolution-calen
   3130 gmain
   3130 gdbus
   3130 dconf worker
   3130 evolution-calen
   3130 pool-evolution-
   3130 pool-evolution-
   3130 evolution-calen
   3130 pool-evolution-
   3134 goa-identity-se
   3134 gmain
   3134 gdbus
   3143 dconf-service
   3143 gmain
   3143 gdbus
   3155 evolution-addre
   3155 gmain
   3155 gdbus
   3155 dconf worker
   3155 evolution-addre
   3155 pool-evolution-
   3202 gvfs-goa-volume
   3202 gmain
   3202 gdbus
   3218 gjs
   3218 JS Helper
   3218 JS Helper
   3218 JS Helper
   3218 JS Helper
   3218 gmain
   3218 gdbus
   3228 gsd-a11y-settin
   3228 gmain
   3228 gdbus
   3228 dconf worker
   3229 gsd-color
   3229 gmain
   3229 dconf worker
   3229 gdbus
   3230 gsd-datetime
   3230 gmain
   3230 gdbus
   3230 dconf worker
   3233 gsd-housekeepin
   3233 gmain
   3233 gdbus
   3233 dconf worker
   3234 gsd-keyboard
   3234 gmain
   3234 dconf worker
   3234 gdbus
   3235 gsd-media-keys
   3235 gmain
   3235 gdbus
   3235 dconf worker
   3236 gsd-power
   3236 gmain
   3236 gdbus
   3236 dconf worker
   3236 threaded-ml
   3238 gsd-print-notif
   3238 gmain
   3238 gdbus
   3239 gsd-rfkill
   3239 gmain
   3239 gdbus
   3240 gsd-screensaver
   3240 gmain
   3240 gdbus
   3244 gsd-sharing
   3244 gmain
   3244 dconf worker
   3244 gdbus
   3246 gsd-smartcard
   3246 gmain
   3246 gdbus
   3246 pool-gsd-smartc
   3246 dconf worker
   3250 gsd-sound
   3250 gmain
   3250 gdbus
   3250 dconf worker
   3255 gsd-usb-protect
   3255 gmain
   3255 gdbus
   3255 dconf worker
   3260 gsd-wacom
   3260 gmain
   3260 gdbus
   3263 gsd-wwan
   3263 gmain
   3263 gdbus
